actual,predicted
12896.0,13793.441
12602.0,13451.823
12183.0,12927.404
11584.0,12265.105
11981.0,11661.352
11950.0,11470.191
11872.0,11499.216
11909.0,11646.123
12253.0,12000.78
12715.0,12588.51
13283.0,13199.8125
13686.0,13618.385
13880.0,13829.152
13847.999999999998,13791.891
13651.0,13567.184
13375.0,13344.748
13194.0,13193.617
12823.0,13010.049
12704.0,12822.581
12547.0,12763.284
12622.0,12951.404
12910.0,13393.958
13059.0,13733.944
12896.0,13781.761
12602.0,13453.43
12183.0,12928.446
11584.0,12381.958
11087.0,11863.03
11950.0,11698.378
11872.0,11673.529
11909.0,11800.751
12253.0,12126.472
12715.0,12707.1455
13283.0,13325.1455
13686.0,13737.366
13880.0,13857.106
13847.999999999998,13799.293
13651.0,13632.855
13375.0,13376.121
13194.0,13144.105
12823.0,12979.878
12704.0,12829.095
12547.0,12781.308
12622.0,12961.956
12910.0,13363.96
13059.0,13811.655
12896.0,13862.809
12602.0,13490.602
12183.0,12934.847
11584.0,12443.789
11087.0,12036.003
10785.0,11754.695
11872.0,11941.951
11909.0,12082.093
12253.0,12363.608
12715.0,12842.145
13283.0,13490.691
13686.0,13951.901
13880.0,14049.187
13847.999999999998,13868.685
13651.0,13614.114
13375.0,13389.687
13194.0,13157.41
12823.0,12956.261
12704.0,12796.483
12547.0,12743.486
12622.0,12965.183
12910.0,13431.591
13059.0,13803.0
12896.0,13871.517
12602.0,13549.433
12183.0,13036.145
11584.0,12492.73
11087.0,12092.529
10785.0,11851.005
10438.0,11808.238
11909.0,12032.401
12253.0,12361.964
12715.0,12880.748
13283.0,13403.813
13686.0,13826.719
13880.0,13995.243
13847.999999999998,13886.7295
13651.0,13566.42
13375.0,13222.307
13194.0,13025.218
12823.0,12917.334
12704.0,12782.47
12547.0,12670.044
12622.0,12845.359
12910.0,13341.417
13059.0,13779.742
12896.0,13800.326
12602.0,13485.636
12183.0,13013.124
11584.0,12546.405
11087.0,12105.801
10785.0,11880.374
10438.0,11823.098
10343.0,11845.726
12253.0,12269.432
12715.0,12764.932
13283.0,13378.157
13686.0,13829.291
13880.0,13957.574
13847.999999999998,13817.904
13651.0,13579.007
13375.0,13271.087
13194.0,12967.169
12823.0,12791.466
12704.0,12749.47
12547.0,12734.36
12622.0,12824.27
12910.0,13196.453
13059.0,13647.884
12896.0,13733.533
12602.0,13398.836
12183.0,12923.615
11584.0,12467.446
11087.0,12118.317
10785.0,11831.8955
10438.0,11751.605
10343.0,11801.233
10370.0,11903.814
12715.0,12944.74
13283.0,13489.312
13686.0,13943.134
13880.0,14171.713
13847.999999999998,14054.397
13651.0,13735.423
13375.0,13426.548
13194.0,13148.271
12823.0,12916.496
12704.0,12742.853
12547.0,12729.578
12622.0,12902.504
12910.0,13258.762
13059.0,13614.102
12896.0,13690.533
12602.0,13379.494
12183.0,12898.092
11584.0,12436.048
11087.0,12045.12
10785.0,11840.59
10438.0,11736.123
10343.0,11750.599
10370.0,11891.387
10606.0,12206.673
13283.0,13486.329
13686.0,13889.781
13880.0,14103.159
13847.999999999998,14106.134
13651.0,13825.301
13375.0,13458.909
13194.0,13177.001
12823.0,12965.057
12704.0,12826.909
12547.0,12733.697
12622.0,12870.379
12910.0,13230.124
13059.0,13604.944
12896.0,13643.46
12602.0,13332.064
12183.0,12864.432
11584.0,12428.432
11087.0,12073.548
10785.0,11810.477
10438.0,11746.351
10343.0,11774.141
10370.0,11897.02
10606.0,12165.273
10976.0,12612.796
13686.0,13837.277
13880.0,13928.539
13847.999999999998,13877.268
13651.0,13777.471
13375.0,13472.164
13194.0,13098.126
12823.0,12863.801
12704.0,12764.924
12547.0,12787.377
12622.0,12893.601
12910.0,13202.902
13059.0,13528.626
12896.0,13626.3545
12602.0,13336.246
12183.0,12857.351
11584.0,12373.844
11087.0,12011.5625
10785.0,11831.398
10438.0,11732.907
10343.0,11764.96
10370.0,11894.58
10606.0,12145.591
10976.0,12519.727
11353.0,13023.492
13880.0,13897.638
13847.999999999998,13698.2
13651.0,13441.745
13375.0,13277.9795
13194.0,13022.082
12823.0,12722.879
12704.0,12582.959
12547.0,12641.633
